  27.   5.   3.  -6.   8.  -2.   8.  -7.  -2.  -4.   0.
   2. -13.  -1.   6.   5.  -5.  -5.  -7.  -1.   8.   3.
  -4.  -7.  17.   0.   6.  -3.   3.  -5.  -5.   2.   0.
  -5.   1.  -7. -13.  -6.   7.   8.  -5.   0.   6.   6.
   5.   1.  -3.   0.  14.   2.   2.   8.   4.  -5.  -6.
   0.   0.  -5.   0.  -1.  -1.   1.   0.   3.  -3.  -6.
   6.  -2.  -2.   8.   6.   3. -12.   6.  -6.  -3.   4.
  -8.  -4.  -8.   1.  -3.   4.  -1.  19.   0.  -8.   6.
  -2.   4.   2.  -1.   0.   6.   2.   2.   0.  -2.   1.
   1.  -1.  -3.  -2.  -7.  -4.   7.  -8.   0.  11.   0.
   5.  -6.  -6.  -4.  -2.   5.  -5.  -1.  -4.   5.  21.
