    1    1     2.
    9    1     3.
    2    2    11.
    4    2    -8.
    7    2     6.
    8    2     4.
   11    2    -6.
   18    2    -3.
   25    2     4.
    1    3    -2.
    3    3    -2.
    5    3     8.
    6    3     2.
    8    3    -1.
   13    3    -7.
   14    3     2.
   15    3    -3.
   18    3     8.
    4    4    -5.
    6    4    -5.
    7    4    -1.
   20    4     5.
    5    5    11.
    9    5     4.
   14    5     6.
   20    5    -8.
    6    6    -7.
   12    6     7.
   17    6     5.
   19    6     6.
   22    6    -5.
   25    6     1.
   26    6    -3.
    7    7    17.
    8    7     1.
   17    7    -2.
    5    8     3.
    6    8     8.
    8    8    -4.
   11    8     6.
   23    8    -8.
   24    8    -5.
   26    8     5.
    9    9    -3.
   11    9    -4.
   22    9     2.
    9   10     4.
   10   10    -3.
   21   10     8.
   22   10    -8.
    7   11    -3.
   10   11     3.
   11   11    20.
   18   11    -4.
   24   11    -2.
    4   12    -1.
   12   12   -19.
   19   12    -6.
   13   13    -6.
   20   13     6.
   26   13     3.
   12   14     7.
   14   14     1.
   22   14     1.
    2   15    -5.
    6   15    -3.
   15   15    -1.
   18   15    -6.
    3   16    -2.
   16   16     3.
   18   16    -3.
   21   16    -2.
    2   17     4.
   13   17     1.
   14   17    -5.
   17   17    16.
   14   18     8.
   18   18   -12.
    2   19    -6.
   11   19    -8.
   12   19    -4.
   17   19     7.
   19   19    -8.
   21   19     6.
   15   20     4.
   20   20    -6.
   21   20    -5.
   27   20     2.
    2   21    -5.
    4   21     2.
   20   21     2.
   21   21   -11.
    7   22    -5.
   17   22    -8.
   19   22    -8.
   21   22     6.
   22   22    -8.
   24   22     1.
   25   22    -7.
   27   22    -8.
    7   23     8.
    9   23    -8.
   16   23    -3.
   23   23    -8.
   24   23     7.
    2   24    -1.
   11   24    -4.
   12   24    -1.
   24   24   -12.
    6   25     5.
    8   25     8.
   24   25    -3.
   25   25    10.
   17   26     4.
   22   26    -2.
   26   26    -1.
   20   27     1.
   27   27     6.
