    1    1    -3.
   10    1     4.
   13    1    -4.
   20    1    -8.
    2    2     6.
   12    2     8.
   13    2    -2.
   14    2    -2.
   21    2     5.
    3    3   -11.
    2    4    -3.
    4    4   -12.
    9    4     8.
   11    4     8.
   14    4    -5.
   18    4    -6.
    1    5     8.
    3    5    -5.
    5    5     5.
    7    5     7.
    9    5     3.
   20    5     3.
    3    6    -2.
    6    6     2.
    7    7   -12.
   13    7     4.
   16    7    -8.
   21    7    -2.
    5    8    -6.
    8    8    -4.
   14    8     4.
   20    8    -2.
    4    9    -1.
    9    9    11.
    3   10    -6.
    4   10     4.
    7   10    -2.
   10   10   -15.
   12   10     1.
   15   10     5.
   17   10    -3.
   18   10    -6.
   11   11     4.
   13   11     2.
   17   11    -6.
    3   12    -4.
   12   12   -24.
    1   13     1.
   13   13     6.
   14   13     5.
   18   13    -6.
    2   14     3.
    4   14    -7.
    8   14     4.
   14   14     2.
   17   14    -8.
   20   14    -4.
   21   14     5.
    5   15    -1.
    7   15    -7.
    8   15    -8.
   15   15    -2.
   18   15     5.
   19   15    -5.
    1   16     6.
   16   16    -8.
   21   16     3.
    5   17     5.
   11   17     3.
   12   17     7.
   17   17   -19.
   15   18     8.
   18   18   -23.
   19   18    -4.
   10   19     3.
   12   19     8.
   13   19    -2.
   17   19     8.
   19   19    -9.
    3   20     2.
   10   20     8.
   11   20    -7.
   15   20     1.
   20   20     3.
    5   21     5.
    6   21    -2.
   21   21    -5.
