    1    1     5.
    7    1     4.
   11    1     3.
   13    1    -8.
    2    2   -19.
    3    2    -7.
   11    2    -1.
   14    2    -8.
   22    2     6.
   27    2     1.
    3    3   -20.
   11    3     5.
   18    3     6.
   20    3    -3.
   22    3    -7.
    2    4    -1.
    4    4    -7.
   10    4     5.
   27    4     3.
    1    5     1.
    5    5    16.
    8    5     2.
   11    5     4.
   29    5     5.
    2    6     6.
    6    6    -3.
    9    6     6.
   16    6    -4.
   18    6     3.
    6    7     2.
    7    7    -1.
    9    7    -5.
   15    7     1.
   17    7    -5.
   27    7     4.
   29    7    -8.
    6    8    -4.
    8    8   -12.
   29    8     8.
    3    9     6.
    9    9    20.
   12    9     3.
   15    9    -5.
   17    9    -1.
   18    9    -7.
   30    9    -3.
    2   10     1.
    5   10     4.
    6   10     7.
   10   10    16.
   27   10    -5.
    9   11     3.
   11   11     3.
   17   11     5.
   22   11    -7.
    5   12    -8.
   12   12    -1.
   14   12    -5.
   17   12     5.
   24   12    -3.
   26   12    -5.
   13   13    11.
   22   13     4.
   26   13     5.
    2   14     7.
   14   14     3.
   21   14    -4.
   27   14     1.
   30   14     2.
    8   15    -7.
   14   15     3.
   15   15    11.
   17   15    -4.
   22   15    -2.
   27   15     1.
   29   15    -8.
    4   16    -2.
   15   16     1.
   16   16    -7.
   17   16    -5.
   25   16     7.
    3   17     8.
    9   17    -8.
   17   17    12.
   19   17    -8.
    4   18    -5.
   18   18     7.
   24   18    -3.
    8   19     1.
   14   19    -8.
   17   19    -5.
   19   19    -1.
   24   19    -4.
   26   19     6.
   28   19     6.
    6   20     4.
    9   20     3.
   20   20    -4.
   11   21     8.
   16   21    -4.
   18   21    -2.
   21   21     1.
   24   21    -8.
   30   21     6.
    5   22     4.
   22   22    24.
   27   22    -1.
   29   22    -4.
    8   23     2.
   15   23     3.
   18   23    -7.
   23   23     6.
   24   23     3.
    3   24     5.
   10   24     3.
   13   24     3.
   22   24     6.
   24   24     1.
    3   25     4.
    9   25    -4.
   18   25    -8.
   21   25    -3.
   25   25    -7.
   27   25     4.
   29   25     1.
    7   26     4.
   10   26     8.
   14   26     5.
   15   26     3.
   18   26     4.
   20   26     6.
   23   26    -6.
   26   26    24.
    6   27    -8.
    7   27     1.
    8   27    -2.
   12   27    -4.
   16   27    -1.
   27   27    10.
   29   27    -1.
   30   27     6.
   13   28     7.
   19   28     5.
   28   28     1.
    1   29    -4.
    2   29    -8.
    9   29    -7.
   13   29    -7.
   17   29    -2.
   19   29     4.
   29   29    17.
    7   30    -2.
   20   30     5.
   26   30     8.
   28   30    -7.
   30   30     5.
