   8.   1.  -7.  -1.  -8.   1.   1.  -1.  -3.   8.   0.  -7.  -8.  -5.  -7.
   8.  23.  -5.  -1.  -4.   3.   4.   6.   4.  -5.   8.   8.  -1.   7.  -5.
   3.   7. -17.  -3.   3.   2.   0.   2.  -8.  -1.   4.  -5.  -3.  -1.  -1.
  -6.   6.   0.  42.   0.   5.  -8.  -7.  -6.   0.   0.   0.   2.  -5.  -7.
   0.  -5.  -8.   4. -41.   0.   5.   2.   5.   0.  -2.   1.  -7.  -6.   8.
   2.   2.  -7.  -8.   7.  -9.   8.  -1.   2.  -3.   2.   6.   1.  -2.  -4.
  -4.  -7.   4.  -1.   7.  -3.   8.   4.  -5.   3.   1.  -3.   5.   2.  -5.
  -6.   3.   0.   6.   7.  -8.   8.   1.  -3.  -2.  -5.   5.   5.   0.  -5.
  -3.   1.  -5.   1.  -5.  -8.   1.  -6.  -2.   5.   1.   4.  -6.  -4.   8.
  -1.  -4.   0.  -1.   1.   8.  -8.   4.  -2. -29.  -8.   7.  -1.   4.   4.
  -3.   2.  -7.  -5.  -8.  -5.  -6.   0.   1.  -8. -41.  -6.   2.  -4.   0.
   8.   8.   4.   0.  -7.  -4.   4.   0.   7.   2.   5.  13.   0.  -6.   0.
  -8.   2.   1.  -1.   1.   2.   6.  -2.   0.   3.  -7.   6.  10.  -8.   7.
  -4.   0.   1.   0.   2.   1.   8.  -6.   2.   7.   2.  -1.  -3.  -2.  -7.
  -5.  -1.  -3.  -3.  -5.  -8.  -8.  -5.   2.   6.   7.   1.   1.   0.  29.
