 -29.   0.   0.  -8.  -5.  -2.  -5.   8.   3.  -3.  -4.   0.   7.   8.
   8.  17.   4.  -8.   5.  -3.  -3.   5.   3.   8.  -7.   2.   1.  -4.
   1.   5.  16.  -2.  -3.  -2.   5.  -4.  -3.  -7.  -8.  -7.  -1.   2.
   6.   4.   3.  33.   1.  -2.   1.  -1.  -8.  -8.   5.   3.   2.   1.
  -1.  -3.   3.   0.   0.   5.   6.  -3.  -4.   1.   2.  -6.   8.   2.
  -7.  -1.  -2.   2.  -3. -42.   1.   0.   4.   6.  -7.  -6.   2.  -7.
   4.  -2.  -8.  -4.   0.  -6.   8.  -2.   4.   6.   4.   2.   1.   5.
  -2.  -3.   0.  -1.   3.   8.   0.  11.   7.  -3.   7.   0.  -7.  -4.
  -1.   3.   3.  -6.  -7.   4.   0.   6.   3.   1.  -2.   0.  -2.   8.
  -5.   6.  -1.  -2.   2.   1.  -1.  -6.  -8.  -8.   0.   0.  -2.   0.
   8.   5.  -7.  -1.   0.  -2.   0.  -3.   5.  -4.  -4.  -3.   4.   8.
  -3.   3.   5.  -2.   1.  -2.  -2.  -2.   1.  -1.  -4. -13.   7.   6.
  -2.   4.   3.   1.  -3.   3.   8.  -1.   2.   7.   8.  -3.  27.  -4.
   5.  -2.  -5.  -4.  -5.  -2.   2.  -2.  -6.   1.   2.   0.   1.  -7.
