  30.  -1.   8.   0.   5.   0.   8.  -3.  -5.  -3.   1.  -5.   7.  -2.  -4.   6.
   5.  24.   5.  -4.   0.  -1.  -7.   1.   3.   4.  -7.  -3.   8.   0.   4.   6.
  -5.   5.  -9.   8.   2.  -4.  -2.   3.   5.   0.  -8.  -1.   0.  -1.  -7.  -2.
   7.  -1.   8.   7.   7.   5.   8.  -5.   5.   0.   0.   1.   3.  -6.   6.  -5.
  -5.   5.  -3.   8.  16.   1.  -7.  -5.   8.   0.   4.   6.   0.   2.  -7.  -1.
  -2.  -4.  -5.   5.   1. -10.   5.   1.   0.   5.   2.   7.   3.  -2.  -7.   3.
   0.  -5.   3.   1.   7.   7. -25.  -2.   1.  -1.  -7.  -7.   0.  -5.   1.  -2.
   5.   0.  -5.  -7.   2.   0.  -4.  15.  -7.   6.   0.   7.   0.  -3.  -4.  -3.
   6.  -7.  -8.   8.   0.  -1.   4.  -5.  20.   6.   8.   2.   7.  -6.   8.   8.
   6.   7.   0.  -4.  -3.  -2.  -7.   8.   2.   5.   5.  -5.   6.  -8.  -3.   5.
   0.   6.   4.   0.  -5.  -5.  -6.  -2.   7.   4.  -2.  -6.   3.  -2.   2.   2.
   2.   1.   4.  -5.  -5.  -6.  -8.  -3.   7.   4.   0. -17.   3.  -3.   8.  -4.
   0.  -3.   7.  -1.  -5.  -5.   7.  -7.  -5.  -4.  -7.   0.   5.   3.   6.  -1.
  -5.   8.  -3.   5.   8.  -3.   6.   7.  -1.   8.  -5.   3.  -4. -17.  -5.   0.
   4.   1.  -5.  -3.   5.  -7.   4.  -5.  -7.   8.  -2.   0.   7.   1.   7.   6.
  -7.   5.   8.  -6.   2.   7.  -6.   7.  -2.  -8.   5.   1.   5.  -8.   2.  -5.
