 -21.  -4.  -2.   1.  -3.   2.  -8.   4.   0.  -3.  -8.   7.  -7.  -5.   4.   0.   0.   0.   6.   4.  -1.   1.   3.
  -8. -11.   4.  -4.  -8.  -4.   8.   1.  -7.  -8.  -7.   4.   4.   0.  -1.   8.  -3.   0.  -7.   0.  -5.   7.  -1.
   1.  -4.  -7.   6.  -4.  -3.  -1.  -6.   0.  -7.   4.   2.   8.   7.   4.  -1.   0.   4.  -2.  -7.  -2.   0.  -8.
   3.  -1.  -4.   0.  -4.  -3.  -8.   2.   4.   5.  -1.   3.   4.  -7.   6.   1.   3.  -8.  -3.   4.   0.  -1.  -3.
  -1.  -4.  -7.  -1.  28.   3.   7.  -8.  -5.  -1.   8.   7.  -7.  -3.  -1.   0.  -8.  -1.  -5.   3.  -5.  -2.  -5.
  -7.   7.   1.   5.  -4.  33.   8.  -3.  -3.  -6.   2.   3.  -1.  -3.   5.   0.   4.   1.  -4.  -5.  -5.   5.   7.
  -5.   7.  -6.   0.  -1.  -4.  -7.  -4.  -8.   7.   2.   6.   0.  -7.  -8.   6.   5.  -5.  -8.  -1.   0.   4.  -3.
   0.   6.   8.  -7.   4.   3.   2.  15.  -3.   1.   0.  -4.   5.  -6.   5.  -2.  -5.  -1.  -5.  -3.   0.   0.   3.
   0.   2.   0.  -3.   1.   0.   1.   8.  28.  -3.  -8.  -5.   5.  -2.   7.  -3.   0.   6.   6.   0.   7.  -6.   7.
   5.   0.  -1.   4.  -7.  -1.  -1.  -2.  -2. -62.   5.  -2.  -7.  -3.   0.  -7.  -4.   3.  -6.   0.  -8.   8.  -4.
  -3.   6.   5.   0.   6.   3.   5.  -8.  -1.  -6.  -3.  -1.   5.   1.  -8.  -5.   0.  -5.   2.   0.  -7.  -7.  -7.
   8.  -8.  -2.   3.  -6.   0.  -6.  -7.   1.  -1.   2.  -9.  -3.   6.   0.   5.   7.  -5.  -1.  -5.  -7.   6.  -8.
  -6.  -2.  -1.   3.   8.   6.   3.   6.   8.  -5.   0.   2. -20.   5.  -1.  -3.   6.  -4.   0.   0.   0.   5.   2.
   0.  -6.  -8.   4.   4.   1.   1.   3.   3.  -6.  -4.  -1.  -7.   4.   3.   0.  -5.  -6.  -3.   1.  -7.   0.  -7.
  -4.  -2.  -4.   8.  -6.   7.   2.   5.  -1.   2.  -7.   0.   1.   8.  28.   0.  -1.   8.   1.  -8.   8.  -7.   0.
  -8.   3.   6.  -7.   0.  -7.  -6.  -6.  -5.  -1.  -3.  -1.  -1.   0.   7.  17.   0.   6.   2.  -3.  -2.  -6.  -3.
  -5.   5.   6.  -1.  -6.   5.  -3.  -7.   2.  -7.   0.   5.   1.  -1.  -6.  -8. -15.   4.   6.  -5.   4.  -8.   8.
  -5.  -4.   0.  -6.   0.   1.  -4.   7.   3.   1.   1.  -8.   1.   7.  -1.   5.  -8.  22.   4.   8.   8.   0.   8.
   0.   0.  -8.   0.  -8.  -6.   5.  -6.   6.  -8.   4.   1.   7.  -3.   7.   6.  -4.   4.  25.   1.   2.  -5.  -8.
   1.   3.   0.   6.   7.  -2.   0.   7.   2.  -4.   4.   0.   7.   2.  -1.  -1.   5.  -1.  -5.   3.  -8.  -5.  -6.
   1.   4.   1.   1.  -3.   1.   3.  -8.   7.   6.  -4.   1.  -7.  -7.   0.   0.  -4.   5.  -7.   5.  67.   0.  -6.
  -2.   1.  -7.   5.  -4.   7.  -1.   1.  -3.  -8.  -6.  -5.   5.  -8.   8.   6.   8.  -4.   3.   2.  -7.  24.   7.
   4.  -2.  -8.   5.   6.  -6.  -5.  -5.  -4.  -2.   1.   6.  -3.  -7.   5.   1.  -5.  -8.   7.  -4.  -1.   5. -14.
