  14.  -5.   4.  -7.  -7.   1.   4.   5.  -6.   4.   3.   4.  -6.  -2.
   6.  18.   1.   8.   4.  -6.  -2.  -2.  -8.   4.   5.   7.   4.   7.
  -2.  -6. -24.   5.  -6.   2.  -7.  -7.  -7.   7.   0.  -6.   5.   0.
  -3.   4.  -3.  -4.   7.   6.   0.   4.  -3.   0.  -8.  -1.   3.   0.
   1.   2.   0.   8. -27.   4.  -1.   7.   8.   6.   1.   5.  -2.   4.
  -8.  -6.  -5.  -1.   6. -12.  -2.   8.   0.   3.  -8.   4.   4.   1.
   6.   3.   8.  -1.  -1.  -7.  -9.   6.   1.  -3.   3.  -1.   4.   7.
   3.   8.   1.   1.   0.   1.  -2.  15.  -4.  -1.  -1.  -4.  -1.   0.
  -8.   6.   8.  -4.  -8.  -2.  -3.  -1.  31.   6.   6.   6.   2.   1.
  -8.  -2.  -7.   1.  -8.   5.   1.  -4.   1. -15.  -8.  -8.   2.   2.
   3.   0.  -2.   2.   6.   3.   0.  -8.   8.   6.   0.  -1.  -1.  -8.
   6.   3.   4.  -1.  -8.   4.  -4.  -3.   4.  -7.  -3.  10.  -6.   1.
   0.  -8.   0.  -5.   0.   3.   7.   4.   1.   2.  -8.   7. -22.   7.
  -8.  -5.  -6.   0.   6.   0.  -5.   5.  -4.   0.  -7.  -3.  -6.  11.
