  -4.   2.  -8.   0.   6.   5.  -5.  -6.   1.  -2.   7.  -2.
   8.   7.   6.  -6.   1.  -7.  -5.   4.  -6.   3.   0.   1.
  -6.   2.  -6.   1.   6.   4.   1.   0.  -6.   1.   4.   3.
  -8.   6.   0.  28.  -7.   0.   4.   0.   3.  -2.   8.   6.
   7.  -5.  -8.  -5.   9.  -1.   0.   8.  -2.   2.   5.   6.
  -4.   7.   7.   4.   5.  -4.   0.  -5.   2.  -2.   6.   0.
  -4.   0.   1.   4.   6.  -2. -10.  -8.   7.   7.   5.  -4.
   7.   1.  -5.  -5.   7.  -6.   8. -17.   4.   0.   5.   3.
   3.   0.   7.   5.   0.   2.   5.  -5.  13.   8.   3.   7.
   0.   4.   7.   5.   3.   8.   3.   4.   8.   6.  -7.  -5.
  -3.   5.   8.  -4.  -4.  -8.   8.   0.   1.   8. -35.  -2.
  -8.   3.   7.  -1.   5.   1.   6.   8.  -5.   5.  -2.  11.
