   4.  -7.   2.  -4.   2.   1.   7.  -6.   8.  -8.   4.   3.
   4. -13.  -5.   1.  -8.   6.   2.  -3.   0.  -7.   5.   4.
   0.   4. -12.  -6.  -7.   0.   0.   4.  -4.   8.   5.  -2.
  -8.   5.   6. -24.  -2.  -7.   3.  -1.   1.   0.  -3.  -6.
  -8.  -7.   8.   0.  23.  -5.  -3.   7.  -4.  -4.  -2.  -1.
  -6.  -8.   4.  -5.   7.  -9.  -5.  -8.   0.   0.   0.   2.
  -6.   1.   6.   4.  -1.   0. -27.   6.   6.   5.   0.   6.
   0.  -6.   5.  -8.  -4.  -5.  -1.   1.  -1.  -7.   4.   8.
   7.   0.   2.  -6.  -3.  -1.  -1.   6.  10.  -8.   4.   4.
   1.   2.  -2.   5.  -4.  -3.  -3.  -4.  -2.   4.  -7.  -5.
   5.   0.   2.  -7.   1.  -5.  -2.  -5.  -8.   5.  15.  -1.
  -1.   3.  -1.  -7.   8.   2.  -8.   8.  -6.  -1.  -5. -32.
