  -5.  -5.  -8.  -3.   3.  -8.   2.   0.   5.  -4.   8.   0.  -3.
   0. -16.  -2.  -4.   3.  -1.  -3.   4.  -8.  -6.  -4.  -8.   5.
   4.   4. -28.   1.   1.  -5.  -8.  -8.  -2.   6.  -5.  -8.  -4.
   1.   5.   0.  11.   3.   1.  -7.  -1.   1.  -4.   2.  -1.  -1.
   6.  -6.   8.   0. -10.   2.   0.  -4.  -5.   7.  -2.   4.   6.
   8.   1.  -2.   3.   8. -17.   8.   4.  -1.   7.   0.   2.  -7.
  -1.   7.  -4.  -4.  -5.   1. -10.   2.   5.  -4.   0.  -4.  -5.
  -7.  -3.   5.  -7.   7.  -4.   0.  10.   2.   0.  -2.   6.  -7.
   2.  -4.  -4.   5.   3.  -8.  -4.  -5.  -3.  -5.  -8.   0.   5.
   5.  -5.  -1.   7.  -1.   6.   2.   0.   8.  35.   2.   0.  -2.
  -2.  -1.   5.  -2.  -8.   0.   6.  -5.   4.  -1.   0.  -6.   0.
   0.  -1.  -7.  -4.   4.  -7.   2.   0.  -1.  -4.   6.   1.  -7.
   8.   7.   6.  -5.   4.  -7.   5.  -5.   5.   2.   5.  -3. -26.
