  13.   8.  -7.   2.  -6.   7.   1.  -5.  -6.   6.   0.   4.   4.  -1.  -6.
  -7.   2.  -1.   0.  -4.   6.  -3.   1.   1.   1.   0.   7.   7.   4.   2.
   3.   5.  -4.   3.   7.  -5.  -2.   2.  -3.  -5.   5.   8.  -7.   8.   1.
   5.   0.  -6.   3.  -3.  -2.  -4.   8.   0.   1.  -3.   2.  -5.  -3.  -5.
   6.   5.  -8.  -1. -11.   6.   4.  -4.   4.   2.  -6.  -8.  -3.   0.   0.
   6.   8.   1.  -7.   5.  -6.  -3.   8.   4.  -5.   5.   6.   1.  -2.   3.
   6.   5.   2.   0.  -5.  -5.  16.   1.   8.  -2.  -3.   0.  -2.  -8.  -3.
   2.  -8.  -4.  -8.   4.   6.   7. -18.   0.  -4.  -5.  -2.  -2.   7.  -3.
   5.   1.   5.   6.   0.   5.   7.   7.  12.   5.  -7.  -8.   4.  -5.   1.
   4.   0.  -1.  -8.   0.   0.   3.  -5.  -3.   0.   5.  -6.   5.  -8.   4.
   2.   0.   0.  -3.   0.   8.   0.  -2.  -2.   1. -10.  -3.   0.  -7.   0.
   6.   8.   5.   5.   5.   5.   0.   4.  -7.   8.  -7.  28.   5.   1.  -4.
   0.   7.   0.  -2.   6.  -4.  -5.   0.  -1.   8.  -5.  -4. -34.   5.   3.
  -7.   4.  -6.  -5.   6.   0.  -1.   1.   4.  -6.  -8.   2.  -4. -25.  -5.
  -1.   7.   3.  -7.  -6.  -6.   5.   0.  -4.  -5.   8.   6.  -1.  -8.  -7.
