  10.   3.  -4.   0.  -1.  -8.  -8.  -6.   2.   0.  -2.   5.   7.
   5. -11.   0.  -3.  -1.   4.   5.   0.   3.   0.  -3.   5.   0.
  -7.  -7.  27.   3.  -8.  -6.   6.   5.  -5.   1.   2.   2.  -5.
   0.   0.  -7. -10.  -1.   4.   4.   3.  -5.   6.  -3.   5.   8.
  -6.   0.   8.  -8.  -7.  -5.   3.   5.   0.   3.  -7.   5.   1.
   5.  -8.  -1.  -6.  -6.  -4.   6.   3.   2.   6.   4.   1.   2.
  -4.   3.  -4.   7.  -8.   4. -35.  -3.  -7.  -1.   0.  -1.   7.
   5.  -7.  -5.   3.  -7.   3.   0.  18.   8.  -5.   2.  -5.   4.
   8.  -7.   0.   7.   6.  -3.   1.   1.  -1.   6.  -1.  -5.  -4.
   1.   1.   8.   3.  -5.   6.   6.  -3.  -6.  12.  -8.   0.  -3.
  -6.   0.   5.  -5.  -2.   0.  -1.   3.  -7.  -1.  -7.   5.  -4.
  -3.  -6.  -5.   8.   2.   6.   8.   3.   5.   3.  -7.  26.   8.
   6.   0.  -2.  -3.   4.   7.  -1.  -3.   7.   6.   0.  -5.  24.
