  16.   0.  -4.  -7.  -5.  -1.   7.   3.   5.  -8.   1.  -5.   0.   3.  -8.   1.
   7. -12.  -8.   3.   6.  -1.   2.   4.  -4.   0.  -6.   4.  -1.  -5.  -2.  -3.
  -7.  -6. -22.   8.   5.  -6.   0.   8.  -3.   7.  -4.  -4.   5.  -8.   2.   5.
   4.  -4.   0. -18.   2.  -4.   7.   1.  -8.   0.   3.   0.   6.   2.  -5.  -4.
   0.   2.   0.  -1.  -7.  -6.  -2.   6.   8.   5.  -3.  -8.  -7.   2.  -5.   8.
  -8.   0.   0.  -3.   6.   4.  -2.  -2.   4.   6.   0.   4.  -4.  -1.   7.   7.
  -5.  -3.   2.  -4.  -4.   8.  14.  -1.  -6.   7.   0.  -8.   7.  -2.  -1.   8.
   3.  -5.  -1.  -3.  -1.  -7.  -3. -10.   5.  -3.   3.  -5.   5.   0.  -2.  -4.
   0.  -7.  -8.   3.   8.  -5.  -4.   1. -17.  -3.  -3.   7.  -5.  -3.  -6.   0.
   4.   6.   1.  -4.   3.  -3.  -1.  -2.  -1. -12.  -5.   1.  -6.   5.   0.   4.
   5.   1.   6.   0.   2.   0.   0.   8.  -3.   0.   2.   3.  -5.   0.   1.  -6.
   8.   8.  -7.  -3.   1.  -8.  -1.  -7.   7.   8.  -1.  21.  -2.   2.   1.   7.
   0.   6.  -8.  -2.  -2.   3.  -2.  -4.   4.   1.  -5.   4.  27.  -7.  -8.  -3.
  -3.  -2.   1.  -5.  -1.   0.  -1.   1.   0.   0.   5.   0.   8. -14.  -7.  -6.
   8.   1.  -8.   4.   4.   3.   1.   5.   4.  -2.   7.   7.  -3.  -1.   5.  -5.
   0.   1.   0.   4.   7.  -4.   2.   5.  -3.   2.  -5.   0.  -6.   4.   3.  -6.
