  -4.   1.  -4.   4.   7.   6.   0.  -4.   5.  -3.  -8.
  -7.  37.   4.  -7.  -8.   0.   3.  -8.  -6.   8.  -2.
  -6.   8.   9.   8.   6.  -3.   0.   8.  -4.   2.   6.
  -4.  -1.  -3.  12.   4.  -3.  -1.  -3.   0.   3.   2.
   0.   4.   5.   0. -19.  -6.  -4.  -4.  -8.   6.   2.
  -3.  -2.  -7.   0.   2.   6.   5.  -5.  -4.  -4.   4.
  -7.  -2.   1.  -2.   5.   7. -20.   4.  -7.   6.  -1.
   2.   0.   0.  -7.  -7.   7.   4.  -9.   7.  -1.  -4.
  -7.  -3.  -4.  -2.   3.  -3.  -7.   4.  10.  -1.  -8.
   2.   1.   4.   6.   3.   0.   8.   3.   6.   0.  -3.
   3.  -7.  -5.   0.  -8.   6.   5.   7.  -3.  -6. -20.
