 -16.   2.   0.  -3.   0.   1.   8.   3.  -3.  -5.   6.   7.   4.   2.   1.   3.
  -3.  -7.  -2.   8.   8.  -2.   8.   3.  -1.  -1.   0.   3.   2.  -5.  -2.  -5.
   1.  -2.  18.   6.   3.   2.  -6.  -2.  -6.   1.  -6.  -4.   7.   2.   6.  -6.
   7.  -5.  -8. -16.   5.   7.  -2.   5.   2.   0.   2.  -5.   1.   5.   3.   3.
   4.  -6.  -2.   0.  27.  -3.   1.   5.   6.   8.   7.  -3.   4.   6.   0.  -6.
  -7.   4.  -8.   5.   0.  -7.   8.   6.  -3.   5.   7.  -3.   8.   6.   5.   2.
  -6.  -1.  -3.   2.  -6.  -8.  -7.   3.  -6.  -1.   0.  -8.   2.  -6.   5.   0.
   0.  -4.   6.  -8.   5.   2.   3. -15.   4.  -7.   8.  -8.   0.   1.  -5.   2.
   1.   7.   7.  -5.   2.   3.   7.  -5.  16.  -2.   4.   0.   2.  -8.  -2.   3.
   7.   0.   6.   2.   8.   5.   6.   4.   0.   3.  -3.  -1.  -2.   6.   4.   5.
   5.  -1.   0.   3.   3.  -6.   0.   5.  -3.  -4.   3.   6.  -4.   7.  -5.   1.
  -3.  -1.  -2.   4.   5.  -5.  -4.   5.   8.   2.  -6.   9.   1.  -1.   0.   4.
   6.  -7.  -4.   5.   5.   5.   3.   3.  -5.   8.  -7.   6.  -1.   5.   0.  -2.
   1.  -4.  -1.   0.   6.  -8.   4.  -5.   7.   0.   4.  -8.   1.  -6.   7.   0.
   4.  -4.  -6.  -8.  -3.   7.  -5.  -2.   7.  -1.  -1.   2.   5.   0. -16.   7.
   6.  -1.   7.   7.  -7.  -1.   6.   3.  -8.   0.  -8.  -5.  -1.   2.   7.  13.
