   5.   0.   3.   8.  -7.  -2.  -1.   6.   4.   4.   5.   3.
   5. -15.   4.   7.  -2.   3.   2.  -5.   4.  -2.   5.   6.
  -8.   0.  -2.   4.   3.   1.   1.   3.   3.   0.  -3.   4.
   1.   3.  -3. -15.   1.   7.  -4.   0.  -2.  -6.  -8.   2.
  -5.   7.  -1.   8.   9.  -7.   5.  -7.  -5.   8.  -4.   4.
   3.   6.   7.   0.   3.  10.   8.  -4.  -7.  -8.  -5.  -5.
   0.   5.   4.   0.  -1.   0. -31.   1.   7.   0.   7.   8.
   2.  -6.   5.   4.   1.  -7.   7.  -5.  -3.   8.   7.  -7.
  -4.  -3.  -1.  -1.  -8.   2.   7.   7.  -7.   2.   5.  -3.
   4.   4.   3.   1.   3.  -4.  -4.  -1.   5.   4.   4.  -5.
   5.   1.   4.  -2.   8.  -8.  -7.  -6.   5.  -4. -13.   3.
   0.  -4.  -1.   1.   5.   5.   3.  -1.   0.  -5.  -4.  11.
