  -2.   7.   8.  -6.   0.   1.   4.   8.   2.  -7.   7.  -4.  -1.  -5.  -2.  -6.  -7.  -4.  -3.  -4.
   1. -12.  -6.  -5.  -1.  -8.  -2.  -7.   7.  -7.  -2.   2.  -4.  -6.   5.   4.  -3.   5.  -5.   8.
  -5.   0.   3.  -3.   2.   0.  -2.   1.   2.   4.   3.   2.  -8.  -3.   5.   0.  -2.  -6.   7.  -2.
  -8.   1.  -4. -23.   7.   0.  -1.  -4.  -3.  -8.   4.  -2.  -1.   4.   7.  -8.   8.   2.   1.  -4.
  -6.   1.  -1.  -4.  17.   8.  -8.   5.  -3.   4.  -3.  -5.  -8.   4.   7.  -5.   4.  -3.   7.  -1.
  -3.   2.   2.  -3.   6.   1.  -6.   8.  -8.   4.  -5.  -8.  -2.  -1.  -8.  -1.   4.  -1.   0.   3.
  -7.   3.  -7.  -2.  -2.  -6.  -8.  -8.  -7.  -2.  -2.  -8.   8.  -7.  -8.   4.   1.  -4.   7.  -7.
  -2.   7.   7.   2.   2.  -5.  -4.  11.  -2.  -7.   0.  -2.   6.  -5.   5.   3.   0.  -2.   4.  -6.
   8.  -8.  -7.  -4.   6.   6.  -1.  -5.   0.  -8.   4.  -3.  -4.  -6.  -6.   0.  -1.   0.   5.   0.
  -6.  -2.   6.   4.  -6.  -8.  -7.  -1.   4.   1.   3.   3.   0.  -8.  -3.  -1.  -3.  -3.   7.  -8.
  -1.   4.   0.   6.   6.   0.   5.   5.   2.  -4. -46.  -6.   6.   3.  -7.   1.   5.  -2.   4.   5.
  -6.  -2.   5.   3.  -5.   0.   0.  -8.  -1.   6.  -1.   1.  -4.  -4.   6.  -2.  -3.   7.   0.  -2.
   0.   8.   1.   1.  -8.  -3.  -4.  -3.   7.   8.   2.   1.  -5.  -6.  -2.   7.  -7.  -5.  -7.   7.
  -2.   4.  -4.   4.   2.  -7.   5.  -2.  -1.  -1.  -5.   2.   0. -17.   6.  -5.  -4.   2.   8.   7.
  -6.   8.   3.  -1.  -7.   2.  -3.   3.  -2.  -4.   5.  -8.   8.  -2.  22.   6.  -1.   8.  -3.   6.
   6.   6.   5.  -8.   3.  -4.   0.   2.   3.   7.   1.  -2.  -3.  -8.   8.  32.  -7.  -4.  -5.  -4.
   1.  -3.  -5.   0.   7.   7.  -5.   6.   1.  -1.   0.   8.  -3.  -7.   1.   0.  33.  -7.   3.   2.
   1.  -1.   6.  -5.   1.  -6.   2.   5.  -7.  -1.  -6.  -1.   2.  -2.  -5.   7.   5.   1.  -8.   2.
   0.  -4.   0.  -8.  -8.  -7.   0.   5.   5.  -2.   7.  -2.   7.  -2.  -4.   2.   2.   8. -13.   8.
  -1.   0.   6.   4.   7.  -8.   1.   5.  -8.   7.   0.   5.   7.   2.   1.   2.  -2.   1.   7.  -4.
