  11.  -2.   0.  -5.   1.   5.   6.   7.  -5.   4.
   7.  -4.  -8.   3.  -4.  -8.  -7.   0.   1.   8.
   6.   5.  29.   0.   7.  -7.   1.   7.   0.   8.
   4.   8.   8.  -6.   4.   5.   0.   8.  -3.  -6.
  -5.  -1.   5.   7.  14.   8.   1.  -2.   3.   0.
  -1.  -7.   6.   3.   5. -15.  -8.   6.   2.  -5.
   0.   6.   0.   2.   2.  -4.  -6.  -2.  -8.   6.
  -4.   8.   2.   4.  -8.   7.  -7.   8.   0.   8.
  -5.   6.   0.   0.  -4.  -2.  -8.  -6.   9.  -4.
   3.   4.   5.  -8.   4.   7.  -5.  -3.  -6.  13.
