 -14.   5.   8.  -3.   1.   0.   3.   5.   0.  -2.   0.   4.  -1.   3.   3.   2.   2.   1.   1.  -4.  -2.   2.  -2.   0.  -8.
   8. -35.   5.  -3.   8.  -7.   5.   5.  -2.  -1.   8.  -8.  -3.   5.   0.  -6.   0.  -5.   2.  -1.  -4.  -8.   5.   0.  -4.
  -6.   5.  19.   3.  -6.   3.  -1.   8.   3.   0.   1.  -1.  -5.  -5.   6.   0.  -4.   8.  -7.  -5.  -3.   5.   8.  -7.   1.
   2.   1.  -6.  -5.  -2.   2.   1.  -8.  -8.  -6.   3.  -2.   2.  -3.   5.   1.  -8.   7.  -1.   8.  -4.   1.  -5.  -7.  -6.
  -4.   8.  -8.   1.  -4.  -1.   7.  -3.   4.   4.  -6.  -2.  -6.   5.   5.   2.  -4.  -4.   5.   8.   8.  -4.  -3.  -2.  -8.
   3.  -4.  -4.  -6.   4.  16.  -5.  -8.  -5.   3.  -2.   5.   6.   2.   5.   7.  -8.   1.  -7.   5.  -7.  -2.  -4.   0.   1.
  -8.   6.  -6.  -3.   8.  -6.  22.  -1.   2.   3.   5.  -1.   6.   1.   8.   4.   1.   4.  -4.   6.  -1.  -3.   5.   0.  -4.
  -4.   5.   6.   6.  -2.   4.   2.  28.   2.  -8.   7.   6.   7.  -2.   0.  -2.  -1.   1.   3.   8.   4.   0.  -1.   4.   7.
   4.   7.  -7.   3.  -4.   0.   5.   6.  17.   1.   0.  -5.  -6.   4.  -5.  -7.  -5.  -4.  -2.  -8.  -6.   0.  -2.   1.   7.
  -8.  -2.   6.  -8.  -2.  -7.  -5.  -4.   5. -28.   7.  -6.   0.   0.  -3.   8.   4.   6.   7.   0.  -8.   3.  -4.   6.  -1.
  -3.   4.  -7.  -3.  -3.   5.   1.  -8.   3.  -8. -16.  -2.   8.  -1.  -8.  -6.   3.   0.  -6.  -7.  -1.  -3.   5.  -8.   3.
   0.   1.   8.  -7.   1.   0.   4.   0.  -7.   6.   2.  14.   7.   8.  -3.   6.  -7.   0.   7.   3.   1.   7.   6.   0.   7.
   8.  -8.  -1.   8.   0.  -6.   8.   5.  -2.   7.  -1.   5.   9.   1.  -6.  -8.  -4.   4.   3.  -4.   5.   4.   5.   6.  -4.
   8.  -6.  -3.  -4.   5.   6.   2.  -1.  -8.   7.   2.  -1.   7.  -7.   0.   2.   2.   0.  -6.   3.   0.   1.  -3.   7.  -1.
  -7.  -4.   0.  -5.   7.   6.  -3.  -5.  -8.  -5.   4.  -7.   6.   3. -13.  -8.  -6.  -7.   3.  -4.   2.  -8.  -6.   0.   7.
  -8.   3.   7.  -1.   0.   0.  -7.   0.   8.   1.   0.   3.   1.  -8.   4. -24.   0.   3.   3.   0.  -6.   0.   7.  -8.  -2.
   5.  -4.  -7.   5.   2.   0.   4.  -5.   5.   2.  -1.  -8.   1.   4.  -7.   1.  21.   8.   5.  -3.   1.  -1.  -2.   2.   4.
   8.  -1.   6.  -1.   7.  -5.  -8.   1.   7.   8.  -8.   6.  -5.  -6.   6.   6.  -2. -13.  -5.   4.  -6.  -8.   4.   1.   0.
  -3.  -7.  -5.   1.   3.   0.  -8.  -6.  -8.   2.  -3.   8.  -7.   4.   0.   0.  -2.   4.  11.   6.   1.   0.  -2.   7.  -4.
  -5.   1.  -3.   8.  -2.  -3.   0.  -4.   8.  -8.  -4.  -4.  -5.  -4.   2.  -3.   6.   5.   0.  12.   3.   0.  -3.   0.   5.
  -5.  -4.   2.   7.  -6.  -4.   3.   7.   2.  -6.  -2.   5.  -5.  -4.  -8.   3.  -4.   8.  -3.  -5. -18.   7.  -4.  -7.  -3.
   4.  -8.  -3.   6.   3.   7.   7.   0.   2.  -3.  -3.   0.   0.   4.  -5.  -3.   8.  -1.   2.  -4.  -4.  36.   8.   8.   7.
   6.   0.  -3.   2.  -6.  -1.  -2.  -2.  -1.   0.  -2.  -5.  -3.   4.  -6.  -6.   0.  -4.  -2.   1.  -5.   3. -30.   6.   8.
   7.  -7.   7.   6.  -4.  -5.   6.   1.  -7.   4.  -2.   0.  -8.  -2.   0.  -6.  -4.  -3.  -3.   2.   3.   1.  -5. -25.   0.
   6.   8.  -4.   7.   0.  -2.   2.   7.   2.   8.   5.   7.  -8.  -6.   6.   3.  -3.   7.  -7.   5.   5.  -5.  -5.  -5.  -3.
