  28.   7.  -6.   4.   2.   7.  -1.   1.  -4.  -8.   7.  -2.   7.   0.   5.  -7.  -1.  -7.
   3.  21.  -6.  -6.   6.   6.   3.   2.  -8.   8.   4.  -4.   7.   4.   7.   0.   3.   8.
  -3.  -2. -10.   2.  -8.  -3.   5.  -2.  -2.   2.   3.  -8.   8.  -8.  -3.   3.   2.  -2.
  -4.   0.  -5.   2.   7.  -6.   7.  -6.  -4.   8.  -1.   5.  -4.   2.   0.  -8.   0.  -5.
   5.  -4.   5.  -5. -10.  -1.   4.   0.   1.  -2.  -2.   0.   8.  -6.   0.   6.   3.   0.
  -6.   1.   7.  -8.  -8. -19.   0.   0.   5.   0.   4.   1.   2.   1.  -8.   2.  -4.  -4.
   7.   0.   5.  -1.  -1.   4.   0.  -4.  -6.   6.  -6.  -1.   7.  -5.  -3.  -3.   3.   4.
  -7.  -5.  -7.   8.   1.   3.   2.  10.   6.  -5.   2.   6.   6.   0.   7.   3.   1.   5.
  -5.   0.   2.  -6.  -4.  -7.  -2.  -1.  10.   6.  -4.  -7.  -4.  -2.  -8.  -8.   3.  -1.
  -6.   5.   7.   5.   4.  -5.  -6.  -5.   3.   9.  -6.  -4.   2.   0.  -5.   0.   8.  -8.
   2.   2.  -1.  -7.   8.  -6.  -6.   7.   5.  -8.   0.   6.  -1.   3.   0.   8.  -4.  -8.
   7.   7.   2.   0.  -5.  -7.   5.   0.  -1.  -2.  -1. -33.  -6.  -2.   0.   0.  -6.   2.
  -6.  -4.   2.  -1.   0.  -3.  -1.  -8.  -8.  -1.   5.   3. -17.   0.   4.   0.   8.  -1.
   8.   2.  -5.   8.  -7.  -4.  -3.   8.  -7.   5.   0.  -7.   0.  15.   0.  -5.   1.   1.
   4.   5.  -3.   6.   5.   5.   4.  -8.  -8.  -8.   1.  -6.  -1.  -2.   9.   2.   3.   0.
   4.   7.  -8.  -6.  -7.   3.   6.   3.  -6.  -3.   5.   3.  -3.   7.   7.  -8.  -7.   1.
   3.   7.  -4.   0.  -1.   3.   0.   8.   7.  -1.  -3.  -5.   4.  -7.  -1.  -7.   7.   4.
   4.   4.  -1.  -8.   0.   2.  -5.  -5.  -3.  -1.   0.  -3.   1.   0.  -7.   0.   3.   9.
