  30.   0.   5.   2.  -8.  -5.   6.   2.   5.  -5.  -1.  -4.  -7.  -8.   4.
  -6.  17.  -7.   0.   1.   4.  -1.  -7.   6.  -3.   0.   0.   7.  -8.   7.
   5.  -5.  17.  -6.   8.  -5.  -1.  -3.   3.   7.  -3.  -4.  -5.   8.   6.
   1.   0.  -4.  10.  -3.  -4.  -7.   1.   8.   8.  -1.  -1.  -3.   6.  -3.
   3.  -5.   2.  -3.   9.   4.   4.   7.  -7.   1.   7.   4.  -2.   5.  -3.
  -8.  -1.  -5.  -1.   6.   1.  -8.   6.   5.   4.  -4.   2.  -1.   2.   0.
   8.   0.   4.  -2.   0.   3.  -2.   7.  -1.   5.   0.   2.   2.   0.   4.
   6.  -4.  -7.   5.   2.  -7.   7. -25.  -1.   4.   7.   5.  -5.  -8.  -7.
   0.  -7.   8.   7.   2.  -6.  -3.   2.  -8.   0.  -1.   8.  -7.   5.  -2.
  -3.   0.   5.   2.  -8.  -7.   4.   2.  -8. -12.  -6.  -3.   2.  -8.   4.
   0.  -3.   1.   6.   7.   8.   4.  -3.  -1.  -7.  17.   8.  -4.   7.  -8.
   1.  -1.   7.  -8.   0.   8.   7.   8.  -3.   6.   0. -32.  -3.  -6.   0.
   0.   6.  -6.   3.  -8.   8.   8.  -3.  -2.   4.   7.   3.  21.  -7.   0.
  -4.  -2.  -3.   0.   5.  -7.  -1.  -7.  -8.  -6.  -7.  -7.   0. -35.   0.
   5.  -3.  -4.  -2.   0.   3.  -3.   7.  -1.   7.   0.  -6.   0.   8. -17.
