   3.   2.   5.  -6.  -4.  -7.  -3.  -6.   3.   0.   0.   4.  -5.  -8.
  -2. -28.  -3.   3.  -5.   5.  -5.   8.  -1.   1.  -7.  -3.   0.   3.
   4.   0.   1.   0.  -1.  -5.   1.  -8.  -5.   2.  -8.  -2.   2.   1.
   5.  -1.  -1.  -5.   7.   1.  -7.  -6.   8.  -4.   0.  -1.   2.   0.
   2.  -5.   6.   0.   5.   1.   8.   2.   0.   1.   2.   0.   1.  -7.
   4.   3.   0.   6.   1.  -4.  -4.   0.  -2.  -4.   0.   0.  -3.   3.
  -7.   0.  -4.  -7.   5.  -4. -45.   1.  -6.  -7.   0.  -8.  -8.   6.
   3.   7.   0.   0.   6.  -2.  -6.  -4.  -5.  -6.  -4.   5.   8.   0.
  -1.  -8.   5.   7.   6.   7.  -1.   3. -21.   7.  -6.  -1.   5.   6.
   0.   6.   5.  -4.  -2.   0.  -2.  -1.  -5.  -2.   1.   5.   5.   2.
   0.  -4.   2.  -5.   2.  -8.  -7.   3.  -4.  -3.  -8.  -3.   5.   2.
   0.   4.  -6.   0.   7.   7.   5.  -3.  -6.   0.   0.  -7.   7.  -2.
   8.   3.  -1.  -8.   4.   4.  -1.   7.  -4.  -6.  -1.   5.   8.   4.
   0.   0.   7.  -2.  -1.  -5.  -6.  -3.   8.  -2.  -6.   3.  -5.   8.
