 -16.  -3.   0.   3.  -6.   5.  -3.   4.   7.  -3.   4.   6.   0.   6.   1.   2.   1.
  -5.  12.  -8.  -2.   2.   8.  -3.   6.  -1.  -7.   2.   6.   0.   4.  -4.   6.  -6.
  -5.   2. -27.   8.   8.   3.  -6.  -6.  -2.  -4.  -4.   8.   0.   0.  -5.  -8.  -4.
   1.   7.   4.  29.   3.   2.  -6.   0.  -5.   7.  -6.   5.  -7.   3.  -3.   2.   0.
  -6.   0.   4.  -2.  23.   3.  -4.   8.   8.  -4.   6.  -1.   0.  -5.   6.   0.   6.
   4.   8.   0.  -7.   6.  -9.  -6.   5.  -8.  -2.  -4.  -6.  -3.  -8.  -4.   1.   1.
  -6.  -6.   3.   6.  -2.  -6.  -8.  -6.  -5.   3.   4.   2.  -8.   2.  -4.   7.   2.
   3.   8.  -1.  -8.   7.   4.  -3.  24.   8.   2.  -1.   7.   2.  -2.   4.  -1.  -1.
   8.  -4.   6.  -4.  -2.  -4.   7.   0.  12.  -8.   0.  -4.   0.   6.  -2.   8.   7.
  -5.   3.  -5.  -3.  -4.   3.  -1.  -4.   3. -14.   0.   3.   3.   4.   0.   3.  -8.
   0.  -2.   7.  -1.  -3.   8.  -2.   2.  -3.  -6. -35.  -2.  -2.  -5.   8.  -2.   6.
  -3.   8.  -4.   8.   5.   0.   4.  -3.   0.  -8.  -3. -10.   1.   5.  -2.  -6.   8.
  -6.   4.  -1.  -3.  -8.   1.   8.   0.   6.  -1.   0.  -7.  15.   5.  -6.   8.  -3.
  -8.   4.  -5.   3.  -7.   1.   0.   7.   3.   0.  -8.   5.   7. -13.  -8.  -7.   0.
  -4.   1.  -7.   2.  -6.  -6.  -7.  -4.   1.  -1.   5.  -6.   1.  -2. -20.   0.  -1.
   4.   3.   5.  -8.  -7.   7.  -6.   0.   8.   5.  -6.  -6.   8.  -6.  -3. -13.   7.
   2.  -3.  -8.  -6.  -6.  -3.  -4.   7.   5.   2.   0.  -6.  -8.   5.  -7.   0.   0.
