  28.   0.   4.   3.   4.  -3.   7.   0.  -8.  -1.   2.   5.   7.
   0. -15.   3.  -5.  -1.   5.   2.  -1.   8.   0.  -2.  -2.   0.
   8.  -1.  -4.  -1.  -2.  -2.  -8.  -4.  -8.   8.   0.   4.   0.
   7.   7.  -4.   2.   8.   6.   0.  -3.   0.  -2.   4.  -2.  -3.
   7.  -7.   0.  -6.  -8.  -5.  -1.  -4.   0.   8.   8.   5.   3.
   0.   6.   0.  -6.  -1.  -1.   4.  -3.  -6.   8.  -8.   0.   7.
   4.   0.   6.   0.   3.  -8.  12.  -2.   0.   4.  -4.   0.   5.
  -1.   1.  -6.  -3.   2.   8.   1. -15.   0.   0.  -4.   0.   5.
   0.   1.  -6.  -6.   6.  -6.   1.   4.  21.   6.   2.   3.   6.
  -1.   2.   1.   6.  -4.  -3.  -4.   2.   1.  -7.   8.  -2.   7.
   5.   0.  -6.   0.   2.  -8.  -6.  -8.   6.  -8.  34.   6.  -7.
   1.   1.  -3.  -8.   4.  -2.  -6.   4.   8.   6.   0.   3.   6.
   3.  -5.   1.  -5.   0.   4.   0.   7.  -1.   6.   3.  -3. -14.
