  -3.   7.  -4.  -2.  -7.  -7.   7.  -7.  -6.  -5.   3.
  -2. -15.   0.  -2.  -1.  -1.   7.   8.   0.   1.   7.
   0.  -2.  12.   7.  -3.   2.   5.  -7.  -2.   2.   8.
   0.   0.  -6.   4.  -7.   2.   5.   5.   5.  -2.   2.
  -4.  -5.   1.  -4.  -4.   8.   8.   8.  -8.   2.   6.
  -7.   3.   7.   7.  -6.  25.   0.   3.   5.  -3.   4.
  -2.  -2.   0.  -4.  -5.   2.   7.  -8.   7.   0.   1.
  -5.   6.   0.  -3.   7.  -1.  -5. -25.   7.  -2.   7.
  -7.  -2.   5.   6.   8.  -2.   0.  -5.   5.   2.   0.
   0.   4.  -6.  -4.   4.   6.   3.   5.   4.   5.  -3.
  -1.   7.  -7.  -4.  -2.   7.   1.  -1.   6.   5.  -9.
