  -4.  -1.   6.   0.   7.  -4.   0.  -8.   7.  -7.   0.
  -7.  22.  -6.  -4.   3.  -6.  -1.   7.   3.  -2.  -5.
  -3.  -6. -18.  -7.   0.  -1.  -3.   8.  -3.  -5.   8.
  -3.   3.  -8. -17.  -2.   2.  -4.  -3.   7.   3.   2.
   8.  -7.   1.  -4. -14.  -6.   7.   3.   2.   6.  -4.
   0.   1.  -7.   1.  -5.  -4.  -6.   5.  -1.  -8.  -6.
  -4.  -2.  -1.   6.   8.  -4.  25.   2.   1.   8.  -5.
   3.   8.   0.  -7.   4.  -6.  -1.  -8.   7.   6.  -2.
  -5.   5.   5.   6.  -5.  -2.  -6.  -8.  -2.  -4.  -8.
  -4.   6.   2.   6.   4.   2.  -2.  -4.  -8.  -6.  -4.
  -5.   5.  -7.  -8.   6.   7.  -1.   1.   7.   2.  -3.
