  29.   6.   8.   0.   3.   5.  -4.   8.   3.  -8.   0.
  -2.   0.   8.   8.  -5.  -3.   0.  -4.  -4.  -8.   6.
   2.   3.   2.   1.  -7.   5.   0.   1.  -3.  -5.   5.
   1.   0.   4.  -7.  -1.  -4.  -7.   4.  -2.  -1.   1.
  -5.   1.  -1.   2.  -1.   3.  -7.   1.  -5.  -7.  -5.
  -4.  -1.   5.   8.  -4.  -7.   3.  -1.  -1.   6.  -6.
  -8.   6.   5.  -4.  -4.   6.  30.   1.   1.   4.   7.
  -3.   2.  -8.  -2.   0.  -3.   3.  25.  -3.  -4.  -7.
   0.  -7.   3.  -8.   6.  -8.  -4.  -5.  21.   1.  -7.
   0.   6.  -2.  -2.  -4.   2.  -2.   4.  -6.  -2.   2.
  -1.   7.  -7.   1.  -1.  -3.  -8.  -6.   3.  -8.   5.
